"From"	"To"
"1561243_at"	"TMEM105"
"1561346_at"	"LOC101927166"
"1561631_at"	NA
"1561640_at"	NA
"1561690_at"	NA
"1562013_a_at"	"LOC100506730"
"1562031_at"	"JAK2"
"1562059_at"	NA
"1562062_at"	NA
"1562063_x_at"	NA
"1562194_at"	NA
"1562235_s_at"	NA
"1562477_at"	"EBF2"
"1562529_s_at"	NA
"1562836_at"	"DDX6"
"1562948_at"	NA
"1563075_s_at"	NA
"1563111_a_at"	"PIGX"
"1563130_a_at"	NA
"1563259_at"	NA
"1563315_s_at"	"ERICH1"
"1563321_s_at"	"MLLT10"
"1563431_x_at"	"PTGIR"
"1563468_at"	NA
"1563497_at"	"USP25"
"1563621_at"	NA
"1563629_a_at"	"ERVK13"
"1563719_a_at"	NA
"1563781_at"	"GARS1"
"1564053_a_at"	"YTHDF3"
"1564077_at"	NA
"1564164_at"	"DENND1B"
"1564424_at"	"LOC105379752"
"1564494_s_at"	"P4HB"
"1564520_s_at"	"PRMT5"
"1564521_x_at"	"PRMT5"
"1564525_at"	"GSN"
"1564637_a_at"	"FAM98B"
"1564773_x_at"	NA
"1564796_at"	"EMP1"
"1565149_at"	"DYNC2H1"
"1565162_s_at"	"MGST1"
"1565269_s_at"	"ATF1"
"1565566_a_at"	NA
"1565611_at"	"DYNLRB1"
"1565627_a_at"	NA
"1565639_a_at"	"PMP22"
"1565681_s_at"	"DIP2C"
"1565689_at"	NA
"1565692_at"	NA
"1565703_at"	"SMAD4"
"1565717_s_at"	"FUS"
"1565743_at"	"N4BP2L2"
"1565762_at"	NA
"1565765_x_at"	"MEDAG"
"1565804_at"	NA
"1565886_at"	NA
"1565935_at"	"ZGRF1"
"1565976_at"	NA
"1566079_at"	"RPS16P5"
"1566142_at"	NA
"1566303_s_at"	"PPP1R11"
"1566342_at"	"SOD2"
"1566480_x_at"	"MEIOC"
"1566509_s_at"	"FBXO9"
"1566557_at"	"BAIAP2"
"1566785_x_at"	"NSF"
"1566887_x_at"	NA
"1566959_at"	NA
"1567014_s_at"	"NFE2L2"
"1567014_s_at"	"CSNK2A1"
"1567044_s_at"	NA
"1567107_s_at"	"TPM4"
"1567214_a_at"	"PNN"
"1567375_at"	NA
"1567458_s_at"	"RAC1"
"1567628_at"	"CD74"
"1568513_x_at"	NA
"1568592_at"	"TRIM69"
"1568592_at"	"LOC100419583"
"1568594_s_at"	"TRIM52"
"1568609_s_at"	"LINC00869"
"1568609_s_at"	"LINC01138"
"1568609_s_at"	"LINC02591"
"1568609_s_at"	"LINC00623"
"1568609_s_at"	"LINC01145"
"1568611_at"	NA
"1568618_a_at"	"GALNT1"
"1568619_s_at"	"ITPRIPL2"
"1568629_s_at"	"PIK3R2"
"1568658_at"	"C2orf74"
"1568678_s_at"	"CEP43"
"1568680_s_at"	"YTHDC2"
"1568702_a_at"	"PAAF1"
"1568763_s_at"	"PDCD6P1"
"1568763_s_at"	"PDCD6"
"1568765_at"	"SERPINE1"
"1568834_s_at"	"CCDC90B"
"1568915_at"	NA
"1568954_s_at"	"C16orf72"
"1568955_at"	"SRGAP2"
"1568955_at"	"SRGAP2B"
"1568955_at"	"SRGAP2C"
"1568957_x_at"	"SRGAP2B"
"1568957_x_at"	"SRGAP2C"
"1568983_a_at"	NA
"1568986_x_at"	"PIGT"
"1569003_at"	NA
"1569030_s_at"	"NUB1"
"1569041_at"	NA
"1569057_s_at"	"MIA3"
"1569073_x_at"	"SMARCA4"
"1569106_s_at"	"SETD5"
"1569110_x_at"	"PDCD6P1"
"1569129_s_at"	"C3orf38"
"1569142_at"	"TRIM13"
"1569149_at"	"PDLIM7"
"1569150_x_at"	"PDLIM7"
"1569180_at"	NA
"1569181_x_at"	NA
"1569200_at"	NA
"1569201_a_at"	NA
"1569202_x_at"	NA
"1569237_at"	NA
"1569238_a_at"	NA
"1569269_s_at"	"SRGAP1"
"1569320_at"	"GPBP1L1"
"1569323_at"	"PTPRG"
"1569396_at"	"LOC101929280"
"1569409_x_at"	NA
"1569477_at"	NA
"1569484_s_at"	"MDN1"
"1569519_at"	"NBPF14"
"1569519_at"	"NBPF1"
"1569519_at"	"NBPF12"
"1569519_at"	"NBPF11"
